E001	CheckMarkLegacy
E002	CheckboxFillLegacy
E003	CheckboxLegacy
E004	CheckboxIndeterminateLegacy
E005	CheckboxCompositeReversedLegacy
E006	HeartLegacy
E007	HeartBrokenLegacy
E008	CheckMarkZeroWidthLegacy
E009	CheckboxFillZeroWidthLegacy
E00A	RatingStarFillZeroWidthLegacy
E00B	HeartFillZeroWidthLegacy
E00C	HeartBrokenZeroWidthLegacy
E00E	ScrollChevronLeftLegacy
E00F	ScrollChevronRightLegacy
E010	ScrollChevronUpLegacy
E011	ScrollChevronDownLegacy
E012	ChevronLeft3Legacy
E013	ChevronRight3Legacy
E014	ChevronUp3Legacy
E015	ChevronDown3Legacy
E016	ScrollChevronLeftBoldLegacy
E017	ScrollChevronRightBoldLegacy
E018	ScrollChevronUpBoldLegacy
E019	ScrollChevronDownBoldLegacy
E052	RevealPasswordLegacy
E07F	EaseOfAccessLegacy
E081	CheckmarkListviewLegacy
E082	RatingStarFillReducedPaddingHTMLLegacy
E087	KeyboardStandardLegacy
E08F	KeyboardSplitLegacy
E094	SearchboxLegacy
E096	ChevronLeft1Legacy
E097	ChevronRight1Legacy
E098	ChevronUp1Legacy
E099	ChevronDown1Legacy
E09A	ChevronLeft2Legacy
E09B	ChevronRight2Legacy
E09C	ChevronUp2Legacy
E09D	ChevronDown2Legacy
E09E	ChevronLeft4Legacy
E09F	ChevronRight4Legacy
E0A0	ChevronUp4Legacy
E0A1	ChevronDown4Legacy
E0A2	CheckboxCompositeLegacy
E0A5	HeartFillLegacy
E0A6	BackBttnArrow42Legacy
E0AB	BackBttnMirroredArrow42Legacy
E0AD	BackBttnMirroredArrow20Legacy
E0AE	ArrowHTMLLegacyMirrored
E0B4	RatingStarFillLegacy
E0B5	RatingStarFillSmallLegacy
E0B8	SemanticZoomLegacy
E0C4	BackBttnArrow20Legacy
E0D5	ArrowHTMLLegacy
E0E2	ChevronFlipLeftLegacy
E0E3	ChevronFlipRightLegacy
E0E4	ChevronFlipUpLegacy
E0E5	ChevronFlipDownLegacy
E0E7	CheckmarkMenuLegacy
E100	PreviousLegacy
E101	NextLegacy
E102	PlayLegacy
E103	PauseLegacy
E104	EditLegacy
E105	SaveLegacy
E106	ClearLegacy
E107	DeleteLegacy
E108	RemoveLegacy
E109	AddLegacy
E10A	CancelLegacy
E10B	AcceptLegacy
E10C	MoreLegacy
E10D	RedoLegacy
E10E	UndoLegacy
E10F	HomeLegacy
E110	UpLegacy
E111	ForwardLegacy
E112	BackLegacy
E113	FavoriteLegacy
E114	CameraLegacy
E115	SettingsLegacy
E116	VideoLegacy
E117	SyncLegacy
E118	DownloadLegacy
E119	MailLegacy
E11A	FindLegacy
E11B	HelpLegacy
E11C	UploadLegacy
E11D	EmojiLegacy
E11E	TwoPageLegacy
E11F	LeaveChatLegacy
E120	MailForwardLegacy
E121	ClockLegacy
E122	SendLegacy
E123	CropLegacy
E124	RotateCameraLegacy
E125	PeopleLegacy
E126	ClosePaneLegacy
E127	OpenPaneLegacy
E128	WorldLegacy
E129	FlagLegacy
E12A	PreviewLinkLegacy
E12B	GlobeLegacy
E12C	TrimLegacy
E12D	AttachCameraLegacy
E12E	ZoomInLegacy
E12F	BookmarksLegacy
E130	DocumentLegacy
E131	ProtectedDocumentLegacy
E132	PageFillLegacy
E133	MultiSelectLegacy
E134	CommentLegacy
E135	MailFillLegacy
E136	ContactInfoLegacy
E137	HangUpLegacy
E138	ViewAllLegacy
E139	MapPinLegacy
E13A	PhoneLegacy
E13B	VideoChatLegacy
E13C	SwitchLegacy
E13D	ContactLegacy
E13E	RenameLegacy
E13F	ExpandTileLegacy
E140	ReduceTileLegacy
E141	PinLegacy
E142	MusicInfoLegacy
E143	GoLegacy
E144	KeyBoardLegacy
E145	DockLeftLegacy
E146	DockRightLegacy
E147	DockBottomLegacy
E148	RemoteLegacy
E149	RefreshLegacy
E14A	RotateLegacy
E14B	ShuffleLegacy
E14C	ListLegacy
E14D	ShopLegacy
E14E	SelectAllLegacy
E14F	OrientationLegacy
E150	ImportLegacy
E151	ImportAllLegacy
E152	ShowAllFiles3Legacy
E153	ShowAllFiles1Legacy
E154	ShowAllFilesLegacy
